,PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,male,male,male,male
122,123,0,2,male,32.5,1,0,30.0708,1,True,1,True
123,124,1,2,female,32.5,0,0,13.0,0,False,0,False
124,125,0,1,male,54.0,0,1,77.2875,1,True,1,True
125,126,1,3,male,12.0,1,0,11.2417,1,True,1,True
126,127,0,3,male,25.0,0,0,7.75,1,True,1,True
127,128,1,3,male,24.0,0,0,7.1417,1,True,1,True
128,129,1,3,female,25.0,1,1,22.3583,0,False,0,False
129,130,0,3,male,45.0,0,0,6.975,1,True,1,True
130,131,0,3,male,33.0,0,0,7.8958,1,True,1,True
131,132,0,3,male,20.0,0,0,7.05,1,True,1,True
132,133,0,3,female,47.0,1,0,14.5,0,False,0,False
133,134,1,2,female,29.0,1,0,26.0,0,False,0,False
134,135,0,2,male,25.0,0,0,13.0,1,True,1,True
135,136,0,2,male,23.0,0,0,15.0458,1,True,1,True
136,137,1,1,female,19.0,0,2,26.2833,0,False,0,False
137,138,0,1,male,37.0,1,0,53.1,1,True,1,True
138,139,0,3,male,16.0,0,0,9.2167,1,True,1,True
139,140,0,1,male,24.0,0,0,79.2,1,True,1,True
140,141,0,3,female,25.0,0,2,15.2458,0,False,0,False
141,142,1,3,female,22.0,0,0,7.75,0,False,0,False
142,143,1,3,female,24.0,1,0,15.85,0,False,0,False
143,144,0,3,male,19.0,0,0,6.75,1,True,1,True
144,145,0,2,male,18.0,0,0,11.5,1,True,1,True
145,146,0,2,male,19.0,1,1,36.75,1,True,1,True
146,147,1,3,male,27.0,0,0,7.7958,1,True,1,True
147,148,0,3,female,9.0,2,2,34.375,0,False,0,False
148,149,0,2,male,36.5,0,2,26.0,1,True,1,True
149,150,0,2,male,42.0,0,0,13.0,1,True,1,True
150,151,0,2,male,51.0,0,0,12.525,1,True,1,True
151,152,1,1,female,22.0,1,0,66.6,0,False,0,False
152,153,0,3,male,55.5,0,0,8.05,1,True,1,True
153,154,0,3,male,40.5,0,2,14.5,1,True,1,True
154,155,0,3,male,25.0,0,0,7.3125,1,True,1,True
155,156,0,1,male,51.0,0,1,61.3792,1,True,1,True
156,157,1,3,female,16.0,0,0,7.7333,0,False,0,False
157,158,0,3,male,30.0,0,0,8.05,1,True,1,True
158,159,0,3,male,25.0,0,0,8.6625,1,True,1,True
159,160,0,3,male,25.0,8,2,69.55,1,True,1,True
160,161,0,3,male,44.0,0,1,16.1,1,True,1,True
161,162,1,2,female,40.0,0,0,15.75,0,False,0,False
162,163,0,3,male,26.0,0,0,7.775,1,True,1,True
163,164,0,3,male,17.0,0,0,8.6625,1,True,1,True
164,165,0,3,male,1.0,4,1,39.6875,1,True,1,True
165,166,1,3,male,9.0,0,2,20.525,1,True,1,True
166,167,1,1,female,38.0,0,1,55.0,0,False,0,False
167,168,0,3,female,45.0,1,4,27.9,0,False,0,False
168,169,0,1,male,38.0,0,0,25.925,1,True,1,True
169,170,0,3,male,28.0,0,0,56.4958,1,True,1,True
170,171,0,1,male,61.0,0,0,33.5,1,True,1,True
171,172,0,3,male,4.0,4,1,29.125,1,True,1,True
172,173,1,3,female,1.0,1,1,11.1333,0,False,0,False
173,174,0,3,male,21.0,0,0,7.925,1,True,1,True
174,175,0,1,male,56.0,0,0,30.6958,1,True,1,True
175,176,0,3,male,18.0,1,1,7.8542,1,True,1,True
176,177,0,3,male,25.0,3,1,25.4667,1,True,1,True
177,178,0,1,female,50.0,0,0,28.7125,0,False,0,False
178,179,0,2,male,30.0,0,0,13.0,1,True,1,True
179,180,0,3,male,36.0,0,0,0.0,1,True,1,True
180,181,0,3,female,25.0,8,2,69.55,0,False,0,False
181,182,0,2,male,30.0,0,0,15.05,1,True,1,True
182,183,0,3,male,9.0,4,2,31.3875,1,True,1,True
183,184,1,2,male,1.0,2,1,39.0,1,True,1,True
184,185,1,3,female,4.0,0,2,22.025,0,False,0,False
185,186,0,1,male,38.0,0,0,50.0,1,True,1,True
186,187,1,3,female,25.0,1,0,15.5,0,False,0,False
187,188,1,1,male,45.0,0,0,26.55,1,True,1,True
188,189,0,3,male,40.0,1,1,15.5,1,True,1,True
189,190,0,3,male,36.0,0,0,7.8958,1,True,1,True
190,191,1,2,female,32.0,0,0,13.0,0,False,0,False
191,192,0,2,male,19.0,0,0,13.0,1,True,1,True
192,193,1,3,female,19.0,1,0,7.8542,0,False,0,False
193,194,1,2,male,3.0,1,1,26.0,1,True,1,True
194,195,1,1,female,44.0,0,0,27.7208,0,False,0,False
195,196,1,1,female,58.0,0,0,146.5208,0,False,0,False
196,197,0,3,male,25.0,0,0,7.75,1,True,1,True
197,198,0,3,male,42.0,0,1,8.4042,1,True,1,True
198,199,1,3,female,25.0,0,0,7.75,0,False,0,False
199,200,0,2,female,24.0,0,0,13.0,0,False,0,False
200,201,0,3,male,28.0,0,0,9.5,1,True,1,True
201,202,0,3,male,25.0,8,2,69.55,1,True,1,True
202,203,0,3,male,34.0,0,0,6.4958,1,True,1,True
203,204,0,3,male,45.5,0,0,7.225,1,True,1,True
204,205,1,3,male,18.0,0,0,8.05,1,True,1,True
205,206,0,3,female,2.0,0,1,10.4625,0,False,0,False
206,207,0,3,male,32.0,1,0,15.85,1,True,1,True
207,208,1,3,male,26.0,0,0,18.7875,1,True,1,True
208,209,1,3,female,16.0,0,0,7.75,0,False,0,False
209,210,1,1,male,40.0,0,0,31.0,1,True,1,True
210,211,0,3,male,24.0,0,0,7.05,1,True,1,True
211,212,1,2,female,35.0,0,0,21.0,0,False,0,False
212,213,0,3,male,22.0,0,0,7.25,1,True,1,True
213,214,0,2,male,30.0,0,0,13.0,1,True,1,True
214,215,0,3,male,25.0,1,0,7.75,1,True,1,True
215,216,1,1,female,31.0,1,0,113.275,0,False,0,False
216,217,1,3,female,27.0,0,0,7.925,0,False,0,False
217,218,0,2,male,42.0,1,0,27.0,1,True,1,True
218,219,1,1,female,32.0,0,0,76.2917,0,False,0,False
219,220,0,2,male,30.0,0,0,10.5,1,True,1,True
220,221,1,3,male,16.0,0,0,8.05,1,True,1,True
221,222,0,2,male,27.0,0,0,13.0,1,True,1,True
222,223,0,3,male,51.0,0,0,8.05,1,True,1,True
223,224,0,3,male,25.0,0,0,7.8958,1,True,1,True
224,225,1,1,male,38.0,1,0,90.0,1,True,1,True
225,226,0,3,male,22.0,0,0,9.35,1,True,1,True
226,227,1,2,male,19.0,0,0,10.5,1,True,1,True
227,228,0,3,male,20.5,0,0,7.25,1,True,1,True
228,229,0,2,male,18.0,0,0,13.0,1,True,1,True
229,230,0,3,female,25.0,3,1,25.4667,0,False,0,False
230,231,1,1,female,35.0,1,0,83.475,0,False,0,False
231,232,0,3,male,29.0,0,0,7.775,1,True,1,True
232,233,0,2,male,59.0,0,0,13.5,1,True,1,True
233,234,1,3,female,5.0,4,2,31.3875,0,False,0,False
234,235,0,2,male,24.0,0,0,10.5,1,True,1,True
235,236,0,3,female,25.0,0,0,7.55,0,False,0,False
236,237,0,2,male,44.0,1,0,26.0,1,True,1,True
237,238,1,2,female,8.0,0,2,26.25,0,False,0,False
238,239,0,2,male,19.0,0,0,10.5,1,True,1,True
239,240,0,2,male,33.0,0,0,12.275,1,True,1,True
240,241,0,3,female,25.0,1,0,14.4542,0,False,0,False
241,242,1,3,female,25.0,1,0,15.5,0,False,0,False
242,243,0,2,male,29.0,0,0,10.5,1,True,1,True
243,244,0,3,male,22.0,0,0,7.125,1,True,1,True
244,245,0,3,male,30.0,0,0,7.225,1,True,1,True
245,246,0,1,male,44.0,2,0,90.0,1,True,1,True
246,247,0,3,female,25.0,0,0,7.775,0,False,0,False
247,248,1,2,female,24.0,0,2,14.5,0,False,0,False
248,249,1,1,male,37.0,1,1,52.5542,1,True,1,True
249,250,0,2,male,54.0,1,0,26.0,1,True,1,True
250,251,0,3,male,25.0,0,0,7.25,1,True,1,True
251,252,0,3,female,29.0,1,1,10.4625,0,False,0,False
252,253,0,1,male,62.0,0,0,26.55,1,True,1,True
253,254,0,3,male,30.0,1,0,16.1,1,True,1,True
254,255,0,3,female,41.0,0,2,20.2125,0,False,0,False
255,256,1,3,female,29.0,0,2,15.2458,0,False,0,False
256,257,1,1,female,38.0,0,0,79.2,0,False,0,False
257,258,1,1,female,30.0,0,0,86.5,0,False,0,False
258,259,1,1,female,35.0,0,0,512.3292,0,False,0,False
259,260,1,2,female,50.0,0,1,26.0,0,False,0,False
260,261,0,3,male,25.0,0,0,7.75,1,True,1,True
261,262,1,3,male,3.0,4,2,31.3875,1,True,1,True
262,263,0,1,male,52.0,1,1,79.65,1,True,1,True
263,264,0,1,male,40.0,0,0,0.0,1,True,1,True
264,265,0,3,female,25.0,0,0,7.75,0,False,0,False
265,266,0,2,male,36.0,0,0,10.5,1,True,1,True
266,267,0,3,male,16.0,4,1,39.6875,1,True,1,True
267,268,1,3,male,25.0,1,0,7.775,1,True,1,True
268,269,1,1,female,58.0,0,1,153.4625,0,False,0,False
269,270,1,1,female,35.0,0,0,135.6333,0,False,0,False
270,271,0,1,male,38.0,0,0,31.0,1,True,1,True
271,272,1,3,male,25.0,0,0,0.0,1,True,1,True
272,273,1,2,female,41.0,0,1,19.5,0,False,0,False
273,274,0,1,male,37.0,0,1,29.7,1,True,1,True
274,275,1,3,female,25.0,0,0,7.75,0,False,0,False
275,276,1,1,female,63.0,1,0,77.9583,0,False,0,False
276,277,0,3,female,45.0,0,0,7.75,0,False,0,False
277,278,0,2,male,30.0,0,0,0.0,1,True,1,True
278,279,0,3,male,7.0,4,1,29.125,1,True,1,True
279,280,1,3,female,35.0,1,1,20.25,0,False,0,False
280,281,0,3,male,65.0,0,0,7.75,1,True,1,True
281,282,0,3,male,28.0,0,0,7.8542,1,True,1,True
282,283,0,3,male,16.0,0,0,9.5,1,True,1,True
283,284,1,3,male,19.0,0,0,8.05,1,True,1,True
284,285,0,1,male,38.0,0,0,26.0,1,True,1,True
285,286,0,3,male,33.0,0,0,8.6625,1,True,1,True
286,287,1,3,male,30.0,0,0,9.5,1,True,1,True
287,288,0,3,male,22.0,0,0,7.8958,1,True,1,True
288,289,1,2,male,42.0,0,0,13.0,1,True,1,True
289,290,1,3,female,22.0,0,0,7.75,0,False,0,False
290,291,1,1,female,26.0,0,0,78.85,0,False,0,False
291,292,1,1,female,19.0,1,0,91.0792,0,False,0,False
292,293,0,2,male,36.0,0,0,12.875,1,True,1,True
293,294,0,3,female,24.0,0,0,8.85,0,False,0,False
294,295,0,3,male,24.0,0,0,7.8958,1,True,1,True
295,296,0,1,male,38.0,0,0,27.7208,1,True,1,True
296,297,0,3,male,23.5,0,0,7.2292,1,True,1,True
297,298,0,1,female,2.0,1,2,151.55,0,False,0,False
298,299,1,1,male,38.0,0,0,30.5,1,True,1,True
299,300,1,1,female,50.0,0,1,247.5208,0,False,0,False
300,301,1,3,female,25.0,0,0,7.75,0,False,0,False
301,302,1,3,male,25.0,2,0,23.25,1,True,1,True
302,303,0,3,male,19.0,0,0,0.0,1,True,1,True
303,304,1,2,female,30.0,0,0,12.35,0,False,0,False
304,305,0,3,male,25.0,0,0,8.05,1,True,1,True
305,306,1,1,male,0.92,1,2,151.55,1,True,1,True
306,307,1,1,female,38.0,0,0,110.8833,0,False,0,False
307,308,1,1,female,17.0,1,0,108.9,0,False,0,False
308,309,0,2,male,30.0,1,0,24.0,1,True,1,True
309,310,1,1,female,30.0,0,0,56.9292,0,False,0,False
310,311,1,1,female,24.0,0,0,83.1583,0,False,0,False
311,312,1,1,female,18.0,2,2,262.375,0,False,0,False
312,313,0,2,female,26.0,1,1,26.0,0,False,0,False
313,314,0,3,male,28.0,0,0,7.8958,1,True,1,True
314,315,0,2,male,43.0,1,1,26.25,1,True,1,True
315,316,1,3,female,26.0,0,0,7.8542,0,False,0,False
316,317,1,2,female,24.0,1,0,26.0,0,False,0,False
317,318,0,2,male,54.0,0,0,14.0,1,True,1,True
318,319,1,1,female,31.0,0,2,164.8667,0,False,0,False
319,320,1,1,female,40.0,1,1,134.5,0,False,0,False
320,321,0,3,male,22.0,0,0,7.25,1,True,1,True
321,322,0,3,male,27.0,0,0,7.8958,1,True,1,True
322,323,1,2,female,30.0,0,0,12.35,0,False,0,False
323,324,1,2,female,22.0,1,1,29.0,0,False,0,False
324,325,0,3,male,25.0,8,2,69.55,1,True,1,True
325,326,1,1,female,36.0,0,0,135.6333,0,False,0,False
326,327,0,3,male,61.0,0,0,6.2375,1,True,1,True
327,328,1,2,female,36.0,0,0,13.0,0,False,0,False
328,329,1,3,female,31.0,1,1,20.525,0,False,0,False
329,330,1,1,female,16.0,0,1,57.9792,0,False,0,False
330,331,1,3,female,25.0,2,0,23.25,0,False,0,False
331,332,0,1,male,45.5,0,0,28.5,1,True,1,True
332,333,0,1,male,38.0,0,1,153.4625,1,True,1,True
333,334,0,3,male,16.0,2,0,18.0,1,True,1,True
334,335,1,1,female,38.0,1,0,133.65,0,False,0,False
335,336,0,3,male,25.0,0,0,7.8958,1,True,1,True
336,337,0,1,male,29.0,1,0,66.6,1,True,1,True
337,338,1,1,female,41.0,0,0,134.5,0,False,0,False
338,339,1,3,male,45.0,0,0,8.05,1,True,1,True
339,340,0,1,male,45.0,0,0,35.5,1,True,1,True
340,341,1,2,male,2.0,1,1,26.0,1,True,1,True
341,342,1,1,female,24.0,3,2,263.0,0,False,0,False
342,343,0,2,male,28.0,0,0,13.0,1,True,1,True
343,344,0,2,male,25.0,0,0,13.0,1,True,1,True
344,345,0,2,male,36.0,0,0,13.0,1,True,1,True
345,346,1,2,female,24.0,0,0,13.0,0,False,0,False
346,347,1,2,female,40.0,0,0,13.0,0,False,0,False
347,348,1,3,female,25.0,1,0,16.1,0,False,0,False
348,349,1,3,male,3.0,1,1,15.9,1,True,1,True
349,350,0,3,male,42.0,0,0,8.6625,1,True,1,True
350,351,0,3,male,23.0,0,0,9.225,1,True,1,True
351,352,0,1,male,38.0,0,0,35.0,1,True,1,True
352,353,0,3,male,15.0,1,1,7.2292,1,True,1,True
353,354,0,3,male,25.0,1,0,17.8,1,True,1,True
354,355,0,3,male,25.0,0,0,7.225,1,True,1,True
355,356,0,3,male,28.0,0,0,9.5,1,True,1,True
356,357,1,1,female,22.0,0,1,55.0,0,False,0,False
357,358,0,2,female,38.0,0,0,13.0,0,False,0,False
358,359,1,3,female,25.0,0,0,7.8792,0,False,0,False
359,360,1,3,female,25.0,0,0,7.8792,0,False,0,False
360,361,0,3,male,40.0,1,4,27.9,1,True,1,True
361,362,0,2,male,29.0,1,0,27.7208,1,True,1,True
362,363,0,3,female,45.0,0,1,14.4542,0,False,0,False
363,364,0,3,male,35.0,0,0,7.05,1,True,1,True
364,365,0,3,male,25.0,1,0,15.5,1,True,1,True
365,366,0,3,male,30.0,0,0,7.25,1,True,1,True
366,367,1,1,female,60.0,1,0,75.25,0,False,0,False
367,368,1,3,female,25.0,0,0,7.2292,0,False,0,False
368,369,1,3,female,25.0,0,0,7.75,0,False,0,False
369,370,1,1,female,24.0,0,0,69.3,0,False,0,False
370,371,1,1,male,25.0,1,0,55.4417,1,True,1,True
371,372,0,3,male,18.0,1,0,6.4958,1,True,1,True
372,373,0,3,male,19.0,0,0,8.05,1,True,1,True
373,374,0,1,male,22.0,0,0,135.6333,1,True,1,True
374,375,0,3,female,3.0,3,1,21.075,0,False,0,False
375,376,1,1,female,38.0,1,0,82.1708,0,False,0,False
376,377,1,3,female,22.0,0,0,7.25,0,False,0,False
377,378,0,1,male,27.0,0,2,211.5,1,True,1,True
378,379,0,3,male,20.0,0,0,4.0125,1,True,1,True
379,380,0,3,male,19.0,0,0,7.775,1,True,1,True
380,381,1,1,female,42.0,0,0,227.525,0,False,0,False
381,382,1,3,female,1.0,0,2,15.7417,0,False,0,False
382,383,0,3,male,32.0,0,0,7.925,1,True,1,True
383,384,1,1,female,35.0,1,0,52.0,0,False,0,False
384,385,0,3,male,25.0,0,0,7.8958,1,True,1,True
385,386,0,2,male,18.0,0,0,73.5,1,True,1,True
386,387,0,3,male,1.0,5,2,46.9,1,True,1,True
387,388,1,2,female,36.0,0,0,13.0,0,False,0,False
388,389,0,3,male,25.0,0,0,7.7292,1,True,1,True
389,390,1,2,female,17.0,0,0,12.0,0,False,0,False
390,391,1,1,male,36.0,1,2,120.0,1,True,1,True
391,392,1,3,male,21.0,0,0,7.7958,1,True,1,True
392,393,0,3,male,28.0,2,0,7.925,1,True,1,True
393,394,1,1,female,23.0,1,0,113.275,0,False,0,False
394,395,1,3,female,24.0,0,2,16.7,0,False,0,False
395,396,0,3,male,22.0,0,0,7.7958,1,True,1,True
396,397,0,3,female,31.0,0,0,7.8542,0,False,0,False
397,398,0,2,male,46.0,0,0,26.0,1,True,1,True
398,399,0,2,male,23.0,0,0,10.5,1,True,1,True
399,400,1,2,female,28.0,0,0,12.65,0,False,0,False
400,401,1,3,male,39.0,0,0,7.925,1,True,1,True
401,402,0,3,male,26.0,0,0,8.05,1,True,1,True
402,403,0,3,female,21.0,1,0,9.825,0,False,0,False
403,404,0,3,male,28.0,1,0,15.85,1,True,1,True
404,405,0,3,female,20.0,0,0,8.6625,0,False,0,False
405,406,0,2,male,34.0,1,0,21.0,1,True,1,True
406,407,0,3,male,51.0,0,0,7.75,1,True,1,True
407,408,1,2,male,3.0,1,1,18.75,1,True,1,True
408,409,0,3,male,21.0,0,0,7.775,1,True,1,True
409,410,0,3,female,25.0,3,1,25.4667,0,False,0,False
410,411,0,3,male,25.0,0,0,7.8958,1,True,1,True
411,412,0,3,male,25.0,0,0,6.8583,1,True,1,True
412,413,1,1,female,33.0,1,0,90.0,0,False,0,False
413,414,0,2,male,30.0,0,0,0.0,1,True,1,True
414,415,1,3,male,44.0,0,0,7.925,1,True,1,True
415,416,0,3,female,25.0,0,0,8.05,0,False,0,False
416,417,1,2,female,34.0,1,1,32.5,0,False,0,False
417,418,1,2,female,18.0,0,2,13.0,0,False,0,False
418,419,0,2,male,30.0,0,0,13.0,1,True,1,True
419,420,0,3,female,10.0,0,2,24.15,0,False,0,False
420,421,0,3,male,25.0,0,0,7.8958,1,True,1,True
421,422,0,3,male,21.0,0,0,7.7333,1,True,1,True
422,423,0,3,male,29.0,0,0,7.875,1,True,1,True
423,424,0,3,female,28.0,1,1,14.4,0,False,0,False
424,425,0,3,male,18.0,1,1,20.2125,1,True,1,True
425,426,0,3,male,25.0,0,0,7.25,1,True,1,True
426,427,1,2,female,28.0,1,0,26.0,0,False,0,False
427,428,1,2,female,19.0,0,0,26.0,0,False,0,False
428,429,0,3,male,25.0,0,0,7.75,1,True,1,True
429,430,1,3,male,32.0,0,0,8.05,1,True,1,True
430,431,1,1,male,28.0,0,0,26.55,1,True,1,True
431,432,1,3,female,25.0,1,0,16.1,0,False,0,False
432,433,1,2,female,42.0,1,0,26.0,0,False,0,False
433,434,0,3,male,17.0,0,0,7.125,1,True,1,True
434,435,0,1,male,50.0,1,0,55.9,1,True,1,True
435,436,1,1,female,14.0,1,2,120.0,0,False,0,False
436,437,0,3,female,21.0,2,2,34.375,0,False,0,False
437,438,1,2,female,24.0,2,3,18.75,0,False,0,False
438,439,0,1,male,64.0,1,4,263.0,1,True,1,True
439,440,0,2,male,31.0,0,0,10.5,1,True,1,True
440,441,1,2,female,45.0,1,1,26.25,0,False,0,False
441,442,0,3,male,20.0,0,0,9.5,1,True,1,True
442,443,0,3,male,25.0,1,0,7.775,1,True,1,True
443,444,1,2,female,28.0,0,0,13.0,0,False,0,False
444,445,1,3,male,25.0,0,0,8.1125,1,True,1,True
445,446,1,1,male,4.0,0,2,81.8583,1,True,1,True
446,447,1,2,female,13.0,0,1,19.5,0,False,0,False
447,448,1,1,male,34.0,0,0,26.55,1,True,1,True
448,449,1,3,female,5.0,2,1,19.2583,0,False,0,False
449,450,1,1,male,52.0,0,0,30.5,1,True,1,True
450,451,0,2,male,36.0,1,2,27.75,1,True,1,True
451,452,0,3,male,25.0,1,0,19.9667,1,True,1,True
452,453,0,1,male,30.0,0,0,27.75,1,True,1,True
453,454,1,1,male,49.0,1,0,89.1042,1,True,1,True
454,455,0,3,male,25.0,0,0,8.05,1,True,1,True
455,456,1,3,male,29.0,0,0,7.8958,1,True,1,True
456,457,0,1,male,65.0,0,0,26.55,1,True,1,True
457,458,1,1,female,38.0,1,0,51.8625,0,False,0,False
